test type,initial bit length,eve_ratio,sample_ratio,channel_noise,detection_noise,qber,outcome,final key length,bm_success_count,execution_time
Sample ratio,100,0,0.1,0,0,0.0,Success,5,53,0.00019288063049316406
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0.0,Success,7,51,0.0001671314239501953
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0.0,Success,5,58,0.000186920166015625
Sample ratio,100,0,0.1,0,0,0.0,Success,6,57,0.000179290771484375
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0.0,Success,4,50,0.0001571178436279297
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0.0,Success,1,50,0.0001785755157470703
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0.0,Success,4,43,0.00028777122497558594
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0.0,Success,5,57,0.00026345252990722656
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0.0,Success,4,60,0.0012433528900146484
Sample ratio,100,0,0.1,0,0,0.0,Success,3,48,0.0002315044403076172
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0.0,Success,1,53,0.0002181529998779297
Sample ratio,100,0,0.1,0,0,0.0,Success,5,49,0.00025725364685058594
Sample ratio,100,0,0.1,0,0,0.0,Success,11,57,0.000240325927734375
Sample ratio,100,0,0.1,0,0,0.0,Success,7,54,0.00024008750915527344
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0.0,Success,1,49,0.00018072128295898438
Sample ratio,100,0,0.1,0,0,0.0,Success,8,57,0.0003695487976074219
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0.0,Success,2,45,0.00023818016052246094
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0.0,Success,6,45,0.0001690387725830078
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0.0,Success,2,53,0.0002162456512451172
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0.0,Success,8,52,0.00035190582275390625
Sample ratio,100,0,0.1,0,0,0.0,Success,5,49,0.0002522468566894531
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0.0,Success,4,56,0.0011339187622070312
Sample ratio,100,0,0.1,0,0,0.0,Success,9,55,0.00021529197692871094
Sample ratio,100,0,0.1,0,0,0.0,Success,7,55,0.000186920166015625
Sample ratio,100,0,0.1,0,0,0.0,Success,4,49,0.0001881122589111328
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0.0,Success,5,50,0.0001556873321533203
Sample ratio,100,0,0.1,0,0,0.0,Success,5,50,0.00015926361083984375
Sample ratio,100,0,0.1,0,0,0.0,Success,6,51,0.0001952648162841797
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0.0,Success,1,52,0.0018072128295898438
Sample ratio,100,0,0.1,0,0,0.0,Success,15,61,0.0002288818359375
Sample ratio,100,0,0.1,0,0,0.0,Success,1,46,0.00015115737915039062
Sample ratio,100,0,0.1,0,0,0.0,Success,4,50,0.0003104209899902344
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0.0,Success,7,53,0.00022649765014648438
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0.0,Success,6,50,0.0002727508544921875
Sample ratio,100,0,0.1,0,0,0.0,Success,1,49,0.0009446144104003906
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0.0,Success,6,49,0.0002570152282714844
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0.0,Success,1,53,0.00014591217041015625
Sample ratio,100,0,0.1,0,0,0.0,Success,3,49,0.0001506805419921875
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0.0,Success,8,54,0.00040650367736816406
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0.0,Success,7,57,0.0010254383087158203
Sample ratio,100,0,0.1,0,0,0.0,Success,4,51,0.0003380775451660156
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0.0,Success,2,46,0.0007245540618896484
Sample ratio,100,0,0.1,0,0,0.0,Success,6,60,0.00016427040100097656
Sample ratio,100,0,0.1,0,0,0.0,Success,7,53,0.00022602081298828125
Sample ratio,100,0,0.1,0,0,0.0,Success,12,57,0.00017642974853515625
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0.0,Success,2,52,0.0002155303955078125
Sample ratio,100,0,0.1,0,0,0.0,Success,5,50,0.00017404556274414062
Sample ratio,100,0,0.1,0,0,0.0,Success,6,54,0.00022077560424804688
Sample ratio,100,0,0.1,0,0,0.0,Success,4,46,0.0002028942108154297
Sample ratio,100,0,0.1,0,0,0.0,Success,6,51,0.00023794174194335938
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0.0,Success,2,55,0.0002689361572265625
Sample ratio,100,0,0.1,0,0,0.0,Success,5,49,0.00017309188842773438
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0.0,Success,4,51,0.0003120899200439453
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0.0,Success,7,49,0.00023484230041503906
Sample ratio,100,0,0.1,0,0,0.0,Success,2,49,0.00019121170043945312
Sample ratio,100,0,0.1,0,0,0.0,Success,7,53,0.0002446174621582031
Sample ratio,100,0,0.1,0,0,0.0,Success,6,54,0.0005266666412353516
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.1,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0.0,Success,1,45,0.0002875328063964844
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0.0,Success,6,56,0.00016880035400390625
Sample ratio,100,0,0.15,0,0,0.0,Success,2,53,0.0002703666687011719
Sample ratio,100,0,0.15,0,0,0.0,Success,7,53,0.0002105236053466797
Sample ratio,100,0,0.15,0,0,0.0,Success,3,56,0.00017404556274414062
Sample ratio,100,0,0.15,0,0,0.0,Success,1,48,0.0001621246337890625
Sample ratio,100,0,0.15,0,0,0.0,Success,1,43,0.00022721290588378906
Sample ratio,100,0,0.15,0,0,0.0,Success,6,57,0.00023889541625976562
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0.0,Success,4,52,0.0002148151397705078
Sample ratio,100,0,0.15,0,0,0.0,Success,2,54,0.00020766258239746094
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0.0,Success,3,54,0.0002002716064453125
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0.0,Success,8,60,0.00027680397033691406
Sample ratio,100,0,0.15,0,0,0.0,Success,7,55,0.00017762184143066406
Sample ratio,100,0,0.15,0,0,0.0,Success,11,61,0.0002422332763671875
Sample ratio,100,0,0.15,0,0,0.0,Success,6,57,0.0002200603485107422
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0.0,Success,2,50,0.00021600723266601562
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0.0,Success,3,49,0.0002086162567138672
Sample ratio,100,0,0.15,0,0,0.0,Success,7,51,0.00018787384033203125
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0.0,Success,3,53,0.00020432472229003906
Sample ratio,100,0,0.15,0,0,0.0,Success,3,52,0.00017118453979492188
Sample ratio,100,0,0.15,0,0,0.0,Success,1,43,0.00017261505126953125
Sample ratio,100,0,0.15,0,0,0.0,Success,3,52,0.0001876354217529297
Sample ratio,100,0,0.15,0,0,0.0,Success,1,47,0.00020503997802734375
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0.0,Success,7,51,0.0003025531768798828
Sample ratio,100,0,0.15,0,0,0.0,Success,5,49,0.0001709461212158203
Sample ratio,100,0,0.15,0,0,0.0,Success,2,49,0.0001957416534423828
Sample ratio,100,0,0.15,0,0,0.0,Success,1,50,0.00020313262939453125
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0.0,Success,2,55,0.0001976490020751953
Sample ratio,100,0,0.15,0,0,0.0,Success,3,59,0.00019502639770507812
Sample ratio,100,0,0.15,0,0,0.0,Success,8,49,0.000255584716796875
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0.0,Success,4,55,0.0001659393310546875
Sample ratio,100,0,0.15,0,0,0.0,Success,6,66,0.00019478797912597656
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0.0,Success,3,49,0.0002512931823730469
Sample ratio,100,0,0.15,0,0,0.0,Success,6,58,0.000171661376953125
Sample ratio,100,0,0.15,0,0,0.0,Success,5,51,0.00016546249389648438
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0.0,Success,7,54,0.00018405914306640625
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0.0,Success,6,54,0.0002052783966064453
Sample ratio,100,0,0.15,0,0,0.0,Success,4,58,0.00033855438232421875
Sample ratio,100,0,0.15,0,0,0.0,Success,7,56,0.0002052783966064453
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0.0,Success,3,52,0.00019979476928710938
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0.0,Success,13,50,0.00019216537475585938
Sample ratio,100,0,0.15,0,0,0.0,Success,5,59,0.0001709461212158203
Sample ratio,100,0,0.15,0,0,0.0,Success,1,52,0.0001609325408935547
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0.0,Success,5,51,0.0002570152282714844
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0.0,Success,3,51,0.00018167495727539062
Sample ratio,100,0,0.15,0,0,0.0,Success,2,49,0.00017213821411132812
Sample ratio,100,0,0.15,0,0,0.0,Success,1,42,0.00032830238342285156
Sample ratio,100,0,0.15,0,0,0.0,Success,1,46,0.0001888275146484375
Sample ratio,100,0,0.15,0,0,0.0,Success,1,46,0.0001430511474609375
Sample ratio,100,0,0.15,0,0,0.0,Success,5,45,0.0013127326965332031
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0.0,Success,2,51,0.00020885467529296875
Sample ratio,100,0,0.15,0,0,0.0,Success,3,54,0.0001595020294189453
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0.0,Success,4,48,0.00020503997802734375
Sample ratio,100,0,0.15,0,0,0.0,Success,1,44,0.00016617774963378906
Sample ratio,100,0,0.15,0,0,0.0,Success,6,52,0.0002028942108154297
Sample ratio,100,0,0.15,0,0,0.0,Success,6,55,0.00021529197692871094
Sample ratio,100,0,0.15,0,0,0.0,Success,4,63,0.00023555755615234375
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0.0,Success,2,55,0.0001583099365234375
Sample ratio,100,0,0.15,0,0,0.0,Success,5,54,0.0002434253692626953
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
Sample ratio,100,0,0.15,0,0,0,"Not enough security, fail",0,0,0
